11000,121,  11000/121/8,גביה שוטפת-מגורים               ,"720,000,000","670,000,000","673,211,773",1,מיסים                             ,11,ארנונות                           ,110,ארנונות                           ,1100,ארנונות                           ,11000,ארנונות                           
34570,591,  34570/591/9,הכנסה מקרנות                    ,"100,000","100,000",  -   ,3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3457,עבודה קהילתית                   ונ,34570,עבודה קהילתית                   ונ
34570,932,  34570/932/1,הוצאות למתנדבים                 ,"75,000","75,000","91,019",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3457,עבודה קהילתית                   ונ,34570,עבודה קהילתית                   ונ
34570,933,  34570/933/2,גמילה מסמים                     ,"1,455,000","690,000","905,940",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,345,השת' הממשלה לפעולות רווחה שונות ות,3457,עבודה קהילתית                   ונ,34570,עבודה קהילתית                   ונ
34800,980,  34800/980/6,השתתפות הממשלה תוכנית תנופה     ,  -   ,"1,330,000","28,264",3,תקבולים משרותים ממלכתיים          ,34,רווחה                             ,348,השתת ממשלה-רווחה ושיקום שכונות  ונ,3480,השתת ממשלה-רווחה ושיקום שכונות  ונ,34800,השתת ממשלה-רווחה ושיקום שכונות  ונ
,,,,"258,830,000","238,790,000","226,499,223",,,"34 סה""כ",,,,,,,
36000,421,  36000/421/3,הכנסות ממשתתפים                 ,"20,000","15,000","28,596",3,תקבולים משרותים ממלכתיים          ,36,קליטת עליה                        ,360,קליטת עליה                        ,3600,קליטת עליה                        ,36000,קליטת עליה                        
36000,951,  36000/951/6,השת' מש' הקליטה ברשות קליטת עליה,"1,190,000","1,165,000","1,215,796",3,תקבולים משרותים ממלכתיים          ,36,קליטת עליה                        ,360,קליטת עליה                        ,3600,קליטת עליה                        ,36000,קליטת עליה                        
36000,952,  36000/952/7,השתת מ. הקליטה בקליטת עולי אתיופ,"300,000","300,000","516,456",3,תקבולים משרותים ממלכתיים          ,36,קליטת עליה                        ,360,קליטת עליה                        ,3600,קליטת עליה                        ,36000,קליטת עליה                        
,,,,"1,510,000","1,480,000","1,760,848",,,"36 סה""כ",,,,,,,
37900,421,  37900/421/2,הכנסות שונות                    ,"50,000","50,000","59,107",3,תקבולים משרותים ממלכתיים          ,37,איכות הסביבה                      ,379,איכות הסביבה                      ,3790,איכות הסביבה                      ,37900,איכות הסביבה                      
37900,589,  37900/589/7,הכנסות מקרן ניקיון-היטל הטמנה   ,  -   ,  -   ,  -   ,3,תקבולים משרותים ממלכתיים          ,37,איכות הסביבה                      ,379,איכות הסביבה                      ,3790,איכות הסביבה                      ,37900,איכות הסביבה                      
37900,991,  37900/991/4,השתת' המש' לאיכה ס ברשות העירוני,"230,000","230,000","235,632",3,תקבולים משרותים ממלכתיים          ,37,איכות הסביבה                      ,379,איכות הסביבה                      ,3790,איכות הסביבה                      ,37900,איכות הסביבה                      
37900,993,  37900/993/6,השתתפות בפרויקטים מיוחדים       ,"30,000","30,000","161,028",3,תקבולים משרותים ממלכתיים          ,37,איכות הסביבה                      ,379,איכות הסביבה                      ,3790,איכות הסביבה                      ,37900,איכות הסביבה                      
37900,996,  37900/996/9,השתתפות המשרד לאיכ ס בניידת מלר ,"120,000","125,000",  -   ,3,תקבולים משרותים ממלכתיים          ,37,איכות הסביבה                      ,379,איכות הסביבה                      ,3790,איכות הסביבה                      ,37900,איכות הסביבה                      
,,,,"430,000","435,000","455,767",,,"37 סה""כ",,,,,,,
,,,,"649,420,000","608,165,000","603,786,253","3 סה""כ",,,,,,,,,
41000,210,  41000/210/8,אגרת מים                        ,"2,000,000","5,000,000","11,387,092",4,מפעלים                            ,41,מים                               ,410,מים                               ,4100,מים                               ,41000,מים                               
41000,237,  41000/237/1,הכנסות שונות                    ,  -   ,  -   ,"80,368",4,מפעלים                            ,41,מים                               ,410,מים                               ,4100,מים                               ,41000,מים                               
41000,810,  41000/810/8,היטל הנחת צינורות מים           ,"1,800,000","1,900,000",  -   ,4,מפעלים                            ,41,מים                               ,410,מים                               ,4100,מים                               ,41000,מים                               
,,,,"3,800,000","6,900,000","11,467,460",,,"41 סה""כ",,,,,,,
43100,610,  43100/610/7,דמי שימוש עבור שלטי רחוב        ,"18,000,000","17,500,000","14,124,454",4,מפעלים                            ,43,נכסים                             ,431,דמי שמוש בשטחים עירוניים          ,4310,דמי שמוש בשטחים עירוניים          ,43100,דמי שמוש בשטחים עירוניים          
43100,621,  43100/621/1,דמי שימוש בשטח ציבורי-כללי      ,"4,000,000","2,950,000","3,702,118",4,מפעלים                            ,43,נכסים                             ,431,דמי שמוש בשטחים עירוניים          ,4310,דמי שמוש בשטחים עירוניים          ,43100,דמי שמוש בשטחים עירוניים          
43100,622,  43100/622/2,דמי שימוש מפרויקט גגות סולריים  ,"160,000",  -   ,  -   ,4,מפעלים                            ,43,נכסים                             ,431,דמי שמוש בשטחים עירוניים          ,4310,דמי שמוש בשטחים עירוניים          ,43100,דמי שמוש בשטחים עירוניים          
43100,630,  43100/630/2,דמי שימוש - סיבים אופטיים       ,"50,000","50,000","41,310",4,מפעלים                            ,43,נכסים                             ,431,דמי שמוש בשטחים עירוניים          ,4310,דמי שמוש בשטחים עירוניים          ,43100,דמי שמוש בשטחים עירוניים          
43200,610,  43200/610/5,דמי חכירה מבתי מגורים           ,"500,000","500,000","670,021",4,מפעלים                            ,43,נכסים                             ,432,דירות                             ,4320,דירות                             ,43200,דירות                             
43200,690,  43200/690/3,דמי מפתח והיתר העברה מבתי-מגורים,"100,000","100,000","205,251",4,מפעלים                            ,43,נכסים                             ,432,דירות                             ,4320,דירות                             ,43200,דירות                             
43300,610,  43300/610/3,שכר דירה מעסקים ומוסדות         ,"13,000,000","11,000,000","12,259,485",4,מפעלים                            ,43,נכסים                             ,433,עסקים ומוסדות                     ,4330,עסקים ומוסדות                     ,43300,עסקים ומוסדות                     
43300,620,  43300/620/5,שכר דירה-בי ס דעת מבינים        ,  -   ,"250,000","65,565",4,מפעלים                            ,43,נכסים                             ,433,עסקים ומוסדות                     ,4330,עסקים ומוסדות                     ,43300,עסקים ומוסדות                     
43300,690,  43300/690/1,דמי מפתח ודמי היתר העברה מעסקים ,"50,000","50,000","1,868,441",4,מפעלים                            ,43,נכסים                             ,433,עסקים ומוסדות                     ,4330,עסקים ומוסדות                     ,43300,עסקים ומוסדות                     
43500,610,  43500/610/8,דמי חכירה מקרקעות               ,"5,800,000","5,000,000","12,083,260",4,מפעלים                            ,43,נכסים                             ,435,קרקעות בלתי קצובות                ,4350,קרקעות בלתי קצובות                ,43500,קרקעות בלתי קצובות                
43500,620,  43500/620/1,דמי הגדלת זכויות                ,"300,000","100,000","234,288",4,מפעלים                            ,43,נכסים                             ,435,קרקעות בלתי קצובות                ,4350,קרקעות בלתי קצובות                ,43500,קרקעות בלתי קצובות                
43600,610,  43600/610/6,דמי טיפול עבור פעולות אגף הנכסים,"100,000","100,000","83,408",4,מפעלים                            ,43,נכסים                             ,436,הכנסות שונות - נכסים              ,4360,הכנסות שונות - נכסים              ,43600,הכנסות שונות - נכסים              
43600,620,  43600/620/8,הכנסות שונות                    ,"100,000","100,000","44,676",4,מפעלים                            ,43,נכסים                             ,436,הכנסות שונות - נכסים              ,4360,הכנסות שונות - נכסים              ,43600,הכנסות שונות - נכסים              
43700,610,  43700/610/4,שכר דירה-שווקים עירוניים        ,"100,000","190,000","137,653",4,מפעלים                            ,43,נכסים                             ,437,שווקים                            ,4370,שווקים                            ,43700,שווקים                            
43700,690,  43700/690/2,הכנסות שונות                    ,  -   ,"10,000","62,897",4,מפעלים                            ,43,נכסים                             ,437,שווקים                            ,4370,שווקים                            ,43700,שווקים                            
,,,,"42,260,000","37,900,000","45,582,827",,,"43 סה""כ",,,,,,,
44300,111,  44300/111/6,קנסות חניה-חניה מוסדרת          ,"30,000,000","35,000,000","31,550,897",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,112,  44300/112/7,קנסות חניה-חניה על מדרכות       ,"10,000,000","10,000,000","10,032,793",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,113,  44300/113/8,קנסות חניה- חניה אחרת           ,"45,000,000","40,000,000","48,429,876",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,114,  44300/114/9,קנסות חניה-פעילות בית המשפט     ,"2,000,000","2,000,000","2,058,234",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,115,  44300/115/1,הכנסות מגרירת מכוניות           ,"11,970,000","12,500,000","10,877,396",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,116,  44300/116/2,קנסות חניה-אכיפת חובות עירוניים ,"40,000,000","40,000,000","38,971,670",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,121,  44300/121/8,עבירות חניה-אכיפת גזרי דין      ,"300,000","250,000","273,888",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,211,  44300/211/9,הכנסות מאגרת חניה               ,  -   ,"300,000","811,972",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,216,  44300/216/5,הכנסות מכרטיס חניה אלקטרוני ארצי,"8,500,000","10,000,000","13,768,354",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44300,218,  44300/218/7,הכנסות מחניה סלולרית            ,"60,000,000","60,000,000","57,069,853",4,מפעלים                            ,44,תחבורה                            ,443,חניית מכוניות                     ,4430,חניית מכוניות                     ,44300,חניית מכוניות                     
44400,210,  44400/210/6,אגרת היתר חניה למוניות          ,"500,000","500,000","498,098",4,מפעלים                            ,44,תחבורה                            ,444,חניית מוניות                      ,4440,חניית מוניות                      ,44400,חניית מוניות                      
,,,,"208,270,000","210,550,000","214,343,031",,,"44 סה""כ",,,,,,,
,,,,"254,330,000","255,350,000","271,393,318","4 סה""כ",,,,,,,,,
51100,110,  51100/110/3,ריבית מהסדרי תשלום              ,"2,000,000","1,500,000","2,307,626",5,תקבולים בלתי רגילים               ,51,ריבית והחזר הוצאות משנים קודמות   ,511,ריבית ודיבידנדים                  ,5110,ריבית ודיבידנדים                  ,51100,ריבית ודיבידנדים                  
51100,221,  51100/221/9,שערוך פקדונות לזמן ארוך         ,"1,500,000","2,500,000","2,231,296",5,תקבולים בלתי רגילים               ,51,ריבית והחזר הוצאות משנים קודמות   ,511,ריבית ודיבידנדים                  ,5110,ריבית ודיבידנדים                  ,51100,ריבית ודיבידנדים                  
51100,222,  51100/222/1,ריבית ודיבידנדים                ,"40,000,000","71,500,000","72,494,118",5,תקבולים בלתי רגילים               ,51,ריבית והחזר הוצאות משנים קודמות   ,511,ריבית ודיבידנדים                  ,5110,ריבית ודיבידנדים                  ,51100,ריבית ודיבידנדים                  
51100,662,  51100/662/3,דיבידנד עתידים                  ,"10,000,000",  -   ,  -   ,5,תקבולים בלתי רגילים               ,51,ריבית והחזר הוצאות משנים קודמות   ,511,ריבית ודיבידנדים                  ,5110,ריבית ודיבידנדים                  ,51100,ריבית ודיבידנדים                  
51300,110,  51300/110/8,החזר הוצאות משנים קודמות        ,"10,000,000","10,000,000","26,846,964",5,תקבולים בלתי רגילים               ,51,ריבית והחזר הוצאות משנים קודמות   ,513,החזר הוצאות משנים קודמות          ,5130,החזר הוצאות משנים קודמות          ,51300,החזר הוצאות משנים קודמות          
,,,,"63,500,000","85,500,000","103,880,004",,,"51 סה""כ",,,,,,,
59100,581,  59100/581/4,החזרים מקרן מים                 ,"6,000,000","7,500,000",  -   ,5,תקבולים בלתי רגילים               ,59,החזר מקרנות והכנסות מיוחדות       ,591,החזרים שונים                      ,5910,החזרים שונים                      ,59100,החזרים שונים                      
59100,591,  59100/591/6,הכנסות מפרעון הלוואות לחברות עיר,  -   ,  -   ,"2,949,626",5,תקבולים בלתי רגילים               ,59,החזר מקרנות והכנסות מיוחדות       ,591,החזרים שונים                      ,5910,החזרים שונים                      ,59100,החזרים שונים                      
59900,781,  59900/781/3,הלוואות בגין מענק למדינה        ,"89,000,000",  -   ,  -   ,5,תקבולים בלתי רגילים               ,59,החזר מקרנות והכנסות מיוחדות       ,599,הכנסות מיוחדות                    ,5990,הכנסות מיוחדות                    ,59900,הכנסות מיוחדות                    
59900,782,  59900/782/4,הלוואות לפרעון  גחלת -ס' שאינו ח,  -   ,  -   ,"45,703",5,תקבולים בלתי רגילים               ,59,החזר מקרנות והכנסות מיוחדות       ,599,הכנסות מיוחדות                    ,5990,הכנסות מיוחדות                    ,59900,הכנסות מיוחדות                    
,,,,"95,000,000","7,500,000","2,995,329",,,"59 סה""כ",,,,,,,
,,,,"158,500,000","93,000,000","106,875,333","5 סה""כ",,,,,,,,,
,,,,"4,350,000,000","4,090,000,000","4,018,144,383",סכום כולל,,,,,,,,,
