,,,,ה צ ע ת  התקציב הרגיל לשנת: 2015,תקציב,אומדן,תקציב,תקציב,ביצוע
אולם ספורט ביד התשעה,82 ,870 ,829220 ,"הקצבות שוטפות למתנ""ס להפעלת האולם",132,130,130,130,121
,,,82922.,"סה""כ - אולם ספורט ביד התשעה:",419,405,409,409,342
,,,82923.,"אצטדיון אתלטיקה גורדון,  מגרש האשל ומגרש קרסני",,,,,
אתלטיקה - גורדון,82 ,100 ,829230 ,הוצאות שכר,85,82,80,80,72
אתלטיקה - גורדון,82 ,430 ,829230 ,הוצאות חשמל,26,25,25,25,8
אתלטיקה - גורדון,82 ,780 ,829230 ,הוצאות שוטפות ואחרות,5,5,5,5,5
,,,82923.,"סה""כ - אצטדיון אתלטיקה גורדון ומגרש האשל:",116,112,110,110,85
,,,82924.,"אולמות ספורט בבתי""ס יסודיים וחטיבות ביניים",,,,,
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,100 ,829240 ,שכר אבות בית,"2,000","1,790","1,790","1,790","1,443"
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,430 ,829240 ,הוצאות חשמל,565,550,550,550,432
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,432 ,829240 ,הוצאות מים וביוב,150,147,36,36,49
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,540 ,829240 ,טלפון ישיר,25,25,25,25,22
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,750 ,829240 ,נקיון בקבלנות,960,874,"1,010","1,010",734
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,781 ,829240 ,הוצאות שוטפות - אילנות,25,15,15,15,14
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,782 ,829240 ,הוצאות שוטפות - אלון ,30,30,30,38,38
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,783 ,829240 ,הוצאות שוטפות - לב טוב,25,25,25,25,15
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,784 ,829240 ,"הוצאות שוטפות - חט""ב סמדר",25,25,25,25,15
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,785 ,829240 ,"הוצאות שוטפות - חט""ב בן גוריון",25,25,25,25,15
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,786 ,829240 ,הוצאות שוטפות - ברנדייס,25,15,15,15,5
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,787 ,829240 ,הוצאות שוטפות - וולפסון,10,0,5,5,0
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,931 ,829240 ,רכישת ציוד יסודי - ברנדייס (חד פעמי) ,0,60,60,85,0
"אולמות אילנות,אלון, נוף ים, בן צבי, לב-טוב וסמדר ",82 ,932 ,829240 ,רכישת ציוד יסודי - וולפסון (חד פעמי) ,0,0,0,300,0
,,,82924.,"סה""כ - אולמות ספורט בבתי""ס יסודיים וחטיבות ביניים:","3,865","3,581","3,611","3,944","2,783"
,,,82925.,אולם ספורט בנוה ישראל,,,,,
אולם ספורט בנוה ישראל,82 ,870 ,829250 ,"הקצבות שוטפות למתנ""ס להפעלת האולם",140,120,120,120,102
,,,82925.,"סה""כ - אולם ספורט בנוה ישראל:",140,120,120,120,102
,,,82929.,ספורטק,,,,,
ספורטק,82 ,100 ,829290 ,משכורות כוללות,352,340,340,340,332
ספורטק,82 ,420 ,829290 ,תיקונים ואחזקה,300,300,300,300,293
ספורטק,82 ,430 ,829290 ,הוצאות חשמל,185,180,180,180,177
ספורטק,82 ,432 ,829290 ,צריכת מים ,306,300,258,258,301
ספורטק,82 ,540 ,829290 ,טלפון ישיר,8,8,8,8,5
ספורטק,5 ,730 ,829290 ,אחזקת מיול (1),13,13,13,13,0
ספורטק,3 ,750 ,829290 ,גינון בקבלנות ,590,590,566,590,496
ספורטק,5 ,752 ,829290 ,נקיון בקבלנות ,187,181,180,184,162
ספורטק,82 ,755 ,829290 ,העסקת אבות בית ,210,210,210,210,190
ספורטק,82 ,780 ,829290 ,אבטחה - סקייטפארק,480,480,480,480,426
,,,82929.,"סה""כ - ספורטק:","2,631","2,602","2,535","2,563","2,381"
,,,82951.,המרכז לחינוך וספורט ימי,,,,,
המרכז לחינוך וספורט ימי,82 ,100 ,829510 ,משכורות כוללות,495,478,472,472,511
,,,82951.,"סה""כ - המרכז לחינוך וספורט ימי:",495,478,472,472,511
,,,82952.,מרכז הספורט החדש ,,,,,
מרכז הספורט החדש,82 ,100 ,829520 ,משכורות כוללות,630,150,150,0,0
מרכז הספורט החדש,82 ,101 ,829520 ,משכורות כוללות - עובדים שעתיים,460,0,0,0,0
מרכז הספורט החדש,82 ,420 ,829520 ,אחזקה (כולל כימיקלים),150,0,0,0,0
מרכז הספורט החדש,82 ,430 ,829520 ,חשמל,500,0,0,0,0
מרכז הספורט החדש,82 ,432 ,829520 ,מים,350,0,0,0,0
מרכז הספורט החדש,2 ,440 ,829520 ,ביטוח,60,0,0,0,0
מרכז הספורט החדש,82 ,540 ,829520 ,טלפון,10,0,0,0,0
מרכז הספורט החדש,82 ,550 ,829520 ,פרסום והסברה,40,0,0,0,0
מרכז הספורט החדש,82 ,750 ,829520 ,ניקיון בקבלנות,400,0,0,0,0
מרכז הספורט החדש,82 ,751 ,829520 ,אבטחה בקבלנות ,400,0,0,0,0
מרכז הספורט החדש,82 ,780 ,829520 ,הוצאות לפעולות,100,350,350,0,0
מרכז הספורט החדש,82 ,870 ,829520 ,הקצבה לבריכת נורדאו להפעלת מרכז הספורט החדש,0,0,0,800,0
,,,82952.,"סה""כ - מרכז הספורט החדש:","3,100",500,500,800,0
,,,82953.,מועדון שחמט,,,,,
מועדון שחמט,82 ,100 ,829530 ,שכר כולל,176,170,178,178,158
מועדון שחמט,82 ,540 ,829530 ,טלפון ישיר,3,3,3,3,2
מועדון שחמט,5 ,750 ,829530 ,נקיון בקבלנות,8,8,8,8,6
מועדון שחמט,82 ,780 ,829530 ,הוצאות אחרות לפעולות,25,25,25,25,19
,,,82953.,"סה""כ - מועדון שחמט:",212,206,214,214,185
,,,8299.,אגודות ספורט,,,,,
אגודות ספורט,82 ,108 ,829900 ,"בג""ץ השל' משרה-פסק בוררות וש""ק",0,0,0,0,45
אגודות ספורט,82 ,825 ,829900 ,תמיכה באגודות בתחום ספורט תחרותי-בוגרים,"7,800","5,940","5,940","4,250","4,234"
אגודות ספורט,82 ,826 ,829900 ,תמיכה באגודות בתחום ספורט תחרותי-נוער,877,"1,000","1,000","1,000",977
,,,8299.,"סה""כ - אגודות ספורט:","8,677","6,940","6,940","5,250","5,256"
,,,82991.,בני הרצליה- פעילויות ספורט,,,,,
בני הרצליה - נוער,82 ,100 ,829910 ,שכר - עירייה ישיר ,45,43,43,43,39
בני הרצליה - נוער,2 ,410 ,829910 ,שכר דירה ,0,82,82,82,78
בני הרצליה - נוער,82 ,780 ,829910 ,החזר הוצאות אבות בית באולמות ספורט (מ- 2014 עבר מסעיף 877),149,144,144,144,0
בני הרצליה - נוער,82 ,870 ,829910 ,הקצבה לבני הרצליה עבור פעילות ילדים ונוער ,"3,675","3,552","3,552","3,552","3,552"
בני הרצליה - נוער,82 ,872 ,829910 ,הקצבה לבני הרצליה עבור מרכזי מצויינות,160,160,160,160,160
בני הרצליה - נוער,82 ,873 ,829910 ,הקצבה לבני הרצליה להפעלת כדורסל נשים,"1,350","1,350","1,350","1,350",900
בני הרצליה - נוער,82 ,874 ,829910 ,הקצבה לבני הרצליה לבניית משרדים,0,0,0,0,100
בני הרצליה - נוער,82 ,875 ,829910 ,הקצבה לבני הרצליה להפעלת כדורעף,100,100,100,100,100
בני הרצליה - נוער ,82 ,877 ,829910 ,החזר הוצאות אבות בית באולמות ספורט (ב- 2014 עבר לסעיף 780),0,0,0,0,211
,,,82991.,"סה""כ - בני הרצליה - פעילויות ספורט נוער:","5,479","5,431","5,431","5,431","5,140"
,,,829.,"סה""כ ספורט:",0,0,0,0,0
,,,82.,"סה""כ - תרבות, נוער וספורט:",0,0,0,0,0
,,,83.,בריאות,,,,,
,,,831.,בריאות הציבור,,,,,
בריאות הציבור,81 ,100 ,831000 ,משכורות כוללות,550,453,450,450,443
בריאות הציבור,2 ,410 ,831000 ,שכר דירה,60,54,54,54,51
בריאות הציבור,81 ,540 ,831000 ,טלפון ישיר ,4,4,4,4,3
בריאות הציבור,12 ,550 ,831000 ,פרסום והסברה,60,60,60,60,59
בריאות הציבור,81 ,780 ,831000 ,הוצאות לפעולות בריאות הציבור (מ- 2014 ועדת בריאות בסעיף 6112/787),290,305,305,305,292
בריאות הציבור,81 ,781 ,831000 ,תכנית בטרם בעיר - בטיחות ילדים,90,90,90,90,79
בריאות הציבור,81 ,782 ,831000 ,פרופיל בריאות עירוני - תוכנית אב לבריאות,0,0,0,0,137
,,,831.,"סה""כ - בריאות הציבור:","1,054",966,963,963,"1,064"
,,,8322.,מרפאת מתבגרים,,,,,
מרפאת מתבגרים,81 ,100 ,832200 ,משכורות כוללות - עובדי מינהלה ,17,17,17,17,12
מרפאת מתבגרים,81 ,430 ,832200 ,הוצאות חשמל,8,8,8,8,0
מרפאת מתבגרים,81 ,540 ,832200 ,טלפון ישיר ,4,4,4,4,2
מרפאת מתבגרים,5 ,750 ,832200 ,נקיון בקבלנות,17,16,17,17,14
מרפאת מתבגרים,81 ,755 ,832200 ,"העסקת כ""א באמצעות חב' השמה",38,38,38,38,33
מרפאת מתבגרים,81 ,780 ,832200 ,הוצאות אחרות ,85,85,85,85,74
,,,8322.,"סה""כ - מרפאת מתבגרים:",169,168,169,169,135
,,,8325.,התחנה לבריאות הנפש,,,,,
התחנה לבריאות הנפש,2 ,410 ,832500 ,שכר דירה,310,280,285,285,270
התחנה לבריאות הנפש,81 ,430 ,832500 ,הוצאות חשמל,23,23,23,23,23
התחנה לבריאות הנפש,81 ,540 ,832500 ,דואר וטלפון ישיר,10,10,10,10,6
התחנה לבריאות הנפש,5 ,750 ,832500 ,נקיון בקבלנות,67,59,60,53,45
התחנה לבריאות הנפש,81 ,780 ,832500 ,הוצאות אחרות,8,8,8,8,4
בריאות הנפש,81 ,781 ,832500 ,"הוצאות לפעולות - מועדון חברתי צב""ר ",150,0,0,0,0
,,,8325.,"סה""כ - התחנה לבריאות הנפש:",568,380,386,379,348
,,,836.,שרותי חרום רפואיים,,,,,
שרותי חרום רפואיים,7 ,541,836200 ,השכרת איתוריות עבור א.ט.ן,0,0,7,7,0
שרותי חרום רפואיים,7 ,830 ,836200 ,"השתתפות באיגוד ערים למד""א - נ.ט.ן",180,165,180,180,157
,,,836.,"סה""כ - שרותי חרום רפואיים:",180,165,187,187,157
,,,83.,"סה""כ - בריאות:",0,0,0,0,0
,,,84.,"שרותי חברה, רווחה וקהילה",,,,,
,,,841.,מינהל הרווחה,,,,,
מינהל שרותים חברתיים,84 ,100 ,841000 ,משכורות כוללות - עובדי לשכת הרווחה ,"11,000","10,100","10,273","10,600","10,126"
מינהל שרותים חברתיים,84 ,102 ,841000 ,משכורות כוללות - תוכנית דרור (שעות נוספות),176,170,170,170,174
מינהל שרותים חברתיים,2 ,410 ,841000 ,שכר דירה,495,450,450,450,379
מינהל שרותים חברתיים,84 ,430 ,841000 ,הוצאות חשמל (ב- 2014 הופרד מסעיף 811/430),87,85,85,85,0
מינהל שרותים חברתיים,84 ,470 ,841000 ,ציוד משרדי שוטף,60,60,50,50,42
מינהל שרותים חברתיים,84 ,521 ,841000 ,השתלמויות והדרכה,61,60,60,60,49
מינהל שרותים חברתיים,84 ,540 ,841000 ,טלפון ישיר,39,38,38,38,35
מינהל שרותים חברתיים,12 ,550 ,841000 ,פרסומים ודפוס,10,10,10,10,8
מינהל שרותים חברתיים,10 ,570 ,841000 ,הוצאות מיכון,71,58,58,58,50
מינהל שרותים חברתיים,5 ,751 ,841000 ,נקיון בקבלנות,135,131,131,231,111
מינהל שרותים חברתיים,84 ,752 ,841000 ,שירותי חשבות - מנהל רווחה,105,105,105,0,0
מינהל שרותים חברתיים,84 ,755 ,841000 ,"העסקת כ""א באמצעות חב' השמה ",25,327,327,0,66
מינהל שרותים חברתיים,84 ,780 ,841000 ,הוצאות אחרות לפעולות ושונות ,130,130,130,130,120
מינהל שרותים חברתיים,84 ,781 ,841000 ,הוצאות לפעולות רווחה מיוחדות (כנגד הכנסה מתרומה - סעיף 341/770),270,325,325,380,0
מינהל שרותים חברתיים,84 ,820 ,841000 ,תמיכה במוסדות בתחום רווחה ובריאות,650,650,663,650,580
,,,841.,"סה""כ - מינהל הרווחה:","13,314","12,699","12,875","12,912","11,739"
,,,8419.,פנסיה ופיצויים - רווחה,,,,,
פנסיה ופיצויים - רווחה,84 ,310 ,841900 ,פנסיה  ,"2,850","2,750","2,750","2,750","2,484"
פנסיה ופיצויים - רווחה,84 ,320 ,841900 ,פיצויים והסדרי פרישה לעובדים,400,350,250,250,385
,,,8419.,"סה""כ - פנסיה ופיצויים - רווחה:","3,250","3,100","3,000","3,000","2,869"
,,,842.,רווחת הפרט והמשפחה,,,,,
רווחת הפרט והמשפחה,84 ,184 ,842200 ,"העסקת עו""ס לשיקום האסיר (ב- 2014 הועבר מסעיף 755)",124,120,120,120,9
רווחת הפרט והמשפחה,84 ,755 ,842200 ,"העסקת כ""א באמצעות חב' השמה לשיקום האסיר (מ- 2014 הועבר לסעיף 184)",0,0,0,0,114
רווחת הפרט והמשפחה,84 ,780 ,842200 ,משפחות במצוקה - עירוני,160,0,0,0,0
רווחת הפרט והמשפחה,84 ,840 ,842200 ,משפחות במצוקה בקהילה (מ- 2014 התמכרויות בסעיף 841),480,640,430,430,672
רווחת הפרט והמשפחה,84 ,841 ,842200 ,טיפול בהתמכרויות (ב- 2014 הופרד מסעיף 840),230,230,230,230,0
רווחת הפרט והמשפחה,84 ,184 ,842400 ,משכורות כוללות - שירותים טיפוליים,39,37,54,54,26
רווחת הפרט והמשפחה,84 ,780 ,842400 ,סבסוד שירותים טיפוליים לנזקקים,173,170,170,70,24
רווחת הפרט והמשפחה,84 ,840 ,842400 ,שרותים טיפוליים (100%),350,370,350,350,352
,,,842.,"סה""כ - רווחת הפרט והמשפחה:","1,556","1,567","1,354","1,254","1,197"
,,,843.,שרותים לילד ולנוער,,,,,
שרותים לילד ולנוער,84 ,184 ,843000 ,עובדי מסגרת טיפול בילדים בסיכון,455,0,0,0,0
שרותים לילד ולנוער,84 ,755 ,843000 ,"העסקת כ""א באמצעות חברת השמה למועדניות",0,0,52,0,0
שרותים לילד ולנוער,84 ,780 ,843000 ,"טיפול בילדים בסיכון (כולל על""מ)",500,"1,030",956,"1,130",895
שרותים לילד ולנוער,84 ,781 ,843000 ,"הפעלת פרוייקט ""דרך הגלים"" (בבית הלבן) - כיתות ה'-ז'",300,0,0,0,0
שרותים לילד ולנוער,84 ,184 ,843500 ,משכורות כוללות - מרכז קשר לטיפול בנוער במצוקה (שעות נוספות),54,52,52,52,45
שרותים לילד ולנוער,84 ,755 ,843500 ,העסקה באמצעות חב' השמה - טיפול בנוער במצוקה ובסיכון,34,34,34,0,0
שרותים לילד ולנוער,84 ,840 ,843500 ,טיפול בנוער במצוקה ובסיכון,365,350,446,480,232
שרותים לילד ולנוער,84 ,184 ,843510 ,משכורות כוללות - טיפול במועדוניות,"1,425","1,382","1,325","1,355","1,363"
שרותים לילד ולנוער,84 ,755 ,843510 ,העסקה באמצעות חב' השמה - טיפול במועדוניות,0,0,52,0,0
שרותים לילד ולנוער,84 ,780 ,843510 ,מועדוניות - הסעים וליווי ,"1,100","1,100","1,100","1,100","1,108"
שרותים לילד ולנוער,84 ,840 ,843510 ,פעילות בקהילה - מועדוניות ,390,400,385,385,421
שרותים לילד ולנוער,84 ,840 ,843800 ,אחזקת ילדים בפנימיות ובאומנה (כולל חזרה לקהילה),"5,640","5,990","4,735","4,735","4,775"
שרותים לילד ולנוער,84 ,780 ,843900 ,מעון יום עירוני - סבסוד ילדי רווחה,250,200,200,200,38
שרותים לילד ולנוער,84 ,840 ,843900 ,מעונות יום ,"1,590","1,580","1,540","1,540","1,457"
שרותים לילד ולנוער,84 ,841 ,843900 ,הסעות וליווי למעונות יום שיקומיים לפעוטות,555,535,655,655,367
,,,843.,"סה""כ - שרותים לילד ולנוער:","12,658","12,653","11,532","11,632","10,701"
,,,844.,שרותים לזקן,,,,,
שרותים לזקן,84 ,100 ,844000 ,"עו""ס לקשישים - עירייה",120,0,0,0,0
שרותים לזקן,84 ,780 ,844000 ,עזרה לקשישים (כולל ניידת ביקורי-בית) ,170,40,40,40,7
שרותים לזקן,84 ,781 ,844000 ,"רכישת שרותים לטובת הקשיש (באמצעות תאגיד עירוני על""ה)",625,625,625,625,0
שרותים לזקן,84 ,820 ,844000 ,תמיכה למוסדות לטובת הקשיש,125,625,625,625,"1,250"
שרותים לזקן,84 ,870 ,844000 ,"הקצבה לתאגיד עירוני על""ה",500,0,0,0,0
שרותים לזקן,84 ,840 ,844300 ,אחזקת זקנים במוסדות,"2,970","2,733","2,860","2,860","2,755"
שרותים לזקן,84 ,780 ,844400 ,"הפעלת טלוויזיה קהילתית לגימלאים (באמצעות תאגיד עירוני על""ה)",80,80,80,80,0
שרותים לזקן,84 ,840 ,844410 ,"(עזרה לזקן (טיפול אישי, עזרה ביתית וארוחות",445,445,335,335,363
שרותים לזקן,84 ,841 ,844410 ,שכונה תומכת,120,120,120,120,13
שרותים לזקן,84 ,840 ,844500 ,מועדונים לקשישים (כולל מועדון נצולי השואה בבית מורשת),235,235,235,235,75
שרותים לזקן,82 ,870 ,844500 ,"הקצבה להפעלת מועדון ""50 פלוס"" (באמצעות מתנ""ס יד התשעה)",70,50,50,50,45
שרותים לזקן,84 ,841 ,844510 ,"הפעלת מרכזי יום לקשיש (באמצעות תאגיד עירוני על""ה)",590,570,570,570,557
,,,844.,"סה""כ - שרותים לזקן:","6,050","5,523","5,540","5,540","5,064"
,,,8446.,"מרכז יום לקשיש - צמרות (מופעל באמצעות תאגיד עירוני על""ה)",,,,,
מרכז יום לקשיש - צמרות,5 ,420 ,844600 ,הוצאות תיקונים ואחזקה,0,3,3,35,18
מרכז יום לקשיש - צמרות,84 ,430 ,844600 ,הוצאות חשמל,0,0,0,108,0
מרכז יום לקשיש - צמרות,84 ,432 ,844600 ,צריכת מים ואגרת ביוב,0,0,0,36,0
מרכז יום לקשיש - צמרות,84 ,521 ,844600 ,הוצאות הדרכה,0,0,0,14,0
מרכז יום לקשיש - צמרות,84 ,540 ,844600 ,הוצאות טלפון ישיר,0,3,2,20,3
מרכז יום לקשיש - צמרות,84 ,720 ,844600 ,הוצאות הזנה,0,0,0,317,0
מרכז יום לקשיש - צמרות,84 ,750 ,844600 ,הסעות,0,0,0,527,0
מרכז יום לקשיש - צמרות,5 ,751 ,844600 ,ניקיון בקבלנות,0,0,0,114,0
מרכז יום לקשיש - צמרות,84 ,755 ,844600 ,"העסקת כ""א באמצעות חב' השמה",0,330,330,"1,050",145
מרכז יום לקשיש - צמרות,84 ,780 ,844600 ,הוצאות שוטפות ושונות,0,30,9,153,18
מרכז יום לקשיש - צמרות,84 ,870 ,844600 ,"הקצבה לעמותת על""ה לצורך הפעלת מרכז יום לקשיש צמרות",430,70,70,0,0
,,,8446.,"סה""כ - מרכז יום לקשיש - צמרות:",430,436,414,"2,374",184
,,,845.,שרותים למפגר,,,,,
שרותים למפגר,84 ,780 ,845000 ,"עזרה למפגרים - עירוני  (תגבור באופק, מע""ש הרצליה, מעון יום השרון, מ.מתראים)",505,500,500,500,463
שרותים למפגר,84 ,840 ,845100 ,סדור מפגרים במוסדות ,"22,375","21,960","21,260","21,260","20,796"
שרותים למפגר,84 ,841 ,845100 ,מסגרות לאוכלוסיית האוטיסטים ,"4,750","4,680","4,570","4,570","4,145"
שרותים למפגר,84 ,410 ,845200 ,"שכירות מע""ש",150,0,0,0,0
שרותים למפגר,84 ,840 ,845200 ,"מעשי""ם (מרכזי עבודה שיקומיים) ומסגרות יום","2,675","2,596","2,200","2,200","2,271"
שרותים למפגר,84 ,184 ,845210 ,"שכר - טיפול ביול""א אופק  ",760,735,"1,110","1,110","1,009"
שרותים למפגר,84 ,840 ,845210 ,אופק - הוצאות שוטפות,80,81,81,81,27
שרותים למפגר,84 ,840 ,845300 ,שרותים תומכים בקהילה (מ- 2014 הסעות בסעיף 841),50,50,50,50,238
שרותים למפגר,84 ,841 ,845300 ,הסעות למסגרות יום (ב- 2014 הופרד מסעיף 840),500,500,500,500,0
,,,845.,"סה""כ - שרותים למפגר:","31,845","31,102","30,271","30,271","28,949"
,,,846.,שרותי שיקום,,,,,
שרותי שיקום,84 ,100 ,846000 ,שכר נהגי נכונית,0,0,0,0,44
שרותי שיקום,5 ,730 ,846000 ,אחזקת ניידת להסעת נכים - נכונית ,0,0,0,0,25
שרותי שיקום,84 ,780 ,846000 ,"עזרה לנכים - עירוני (מ- 2014 כולל הסעות ל""כנפיים של קרמבו"")",260,260,260,260,37
שרותי שיקום,84 ,840 ,846400 ,"מרכזי שיקום, הכשרה מקצועית, מועדונים ופנאי","1,020","1,020","1,020","1,020",964
שרותי שיקום,84 ,840 ,846500 ,אחזקת נכים במוסדות,"8,325","8,324","7,730","7,730","7,699"
שרותי שיקום,84 ,780 ,846700 ,"""כנפיים של קרמבו"" - הסעות (מ- 2014 כלול בסעיף 846/780)",0,0,0,0,14
שרותי שיקום,84 ,840 ,846700 ,טיפול בנכים בקהילה ,410,410,410,410,316
,,,846.,"סה""כ - שרותי שיקום:","10,015","10,014","9,420","9,420","9,099"
,,,8474.,"מפת""ן ""ארז""",,,,,
"""מפת""ן ""ארז",84 ,100 ,847400 ,משכורות כוללות עובדים ,"2,360","2,280","2,280","2,280","2,303"
"""מפת""ן ""ארז",84 ,101 ,847400 ,שכר שרת,140,132,135,135,122
"""מפת""ן ""ארז",84 ,102 ,847400 ,שכר פסיכולוגית,105,102,102,102,101
"""מפת""ן ""ארז",84 ,107 ,847400 ,"שכר תיגבור לימודים, יוזמות ופרוייקטים פדגוגיים (כולל ש' הוראה אפקטיביות) ",230,222,222,222,202
"""מפת""ן ""ארז",84 ,184 ,847400 ,"העסקת כ""א - מרכז יום",60,50,100,100,48
"""מפת""ן ""ארז",5 ,420 ,847400 ,תיקונים ואחזקה,10,10,10,10,6
"""מפת""ן ""ארז",84 ,430 ,847400 ,הוצאות חשמל,66,66,66,66,60
"""מפת""ן ""ארז",84 ,432 ,847400 ,הוצאות מים ואגרת ביוב,0,0,0,0,12
"""מפת""ן ""ארז",84 ,540 ,847400 ,טלפון ישיר,12,12,12,12,9
"""מפת""ן ""ארז",81 ,720 ,847400 ,הוצאות שוטפות,390,400,400,400,388
"""מפת""ן ""ארז",84 ,740 ,847400 ,כלים וציוד,15,15,15,15,15
"""מפת""ן ""ארז",84 ,742 ,847400 ,אחזקת מכונת צילום,3,3,3,3,2
"""מפת""ן ""ארז",84 ,750 ,847400 ,נקיון בקבלנות,140,145,140,140,120
"""מפת""ן ""ארז",84 ,760 ,847400 ,"תלמידי הרצליה הלומדים במפת""ן חוץ",0,0,30,30,22
"""מפת""ן ""ארז",84 ,784 ,847400 ,הוצאות להפעלת יוזמות ופרוייקטים פדגוגיים ,80,80,80,80,78
"""מפת""ן ""ארז",84 ,840 ,847400 ,פעילות חוגים + מרכז יום,250,210,360,360,140
,,,8474.,"סה""כ - מפת""ן ""ארז"":","3,861","3,727","3,955","3,955","3,629"
,,,8475.,נשים מוכות וטיפול באלימות,,,,,
נשים מוכות וטיפול באלימות,84 ,104 ,847500 ,משכורות כוללות - המרכז לשלום המשפחה,570,550,355,355,432
נשים מוכות וטיפול באלימות,84 ,755 ,847500 ,העסקה באמצעות חברת השמה,0,0,0,0,116
נשים מוכות וטיפול באלימות,84 ,780 ,847500 ,הוצאות לפעולות - המרכז לשלום המשפחה,80,80,80,80,50
נשים מוכות וטיפול באלימות,84 ,840 ,847500 ,מרכזי טיפול באלימות ,10,9,0,0,9
נשים מוכות וטיפול באלימות,84 ,841 ,847500 ,מקלטים לנשים מוכות - מחוץ להרצליה ,160,120,200,200,130
,,,8475.,"סה""כ - נשים מוכות וטיפול באלימות:",820,759,635,635,736
,,,8482.,מרכזים קהילתיים,,,,,
מרכזים קהילתיים,84 ,840 ,848200 ,מרכזים קהילתיים,100,100,100,100,29
,,,8482.,"סה""כ - מרכזים קהילתיים:",100,100,100,100,29
,,,84829.,מועדון גמלאים גיל הזהב (מופעל באמצעות תאגיד התרבות העירוני),,,,,
מועדון גמלאים גיל הזהב,82 ,100 ,848290 ,משכורות כוללות ,170,103,115,115,103
מועדון גמלאים גיל הזהב,82 ,871 ,848290 ,"הקצבה לתאגיד התרבות להפעלת מועדון ""גיל הזהב"" (מ- 2014 כולל שלוחות)",700,690,690,690,575
מועדון גמלאים גיל הזהב,82 ,872 ,848290 ,הקצבה לתאגיד התרבות להפעלת תוכניות לגיל השלישי,100,300,300,300,300
מועדון גמלאים גיל הזהב,82 ,873 ,848290 ,"הקצבה לתאגיד התרבות להפעלת מועדון ""60 על הים"" (בבית הגלגלים) (מ- 2014 כלול בסעיף 871)",0,0,0,0,36
,,,84829.,"סה""כ - מועדון  גמלאים גיל הזהב:",970,"1,093","1,105","1,105","1,014"
,,,8483.,פעולות התנדבות,,,,,
פעולות התנדבות,5 ,420 ,848300 ,"אחזקה שוטפת (בית המתנדב, מ. מוגן לנכים ואחרים)",5,5,5,5,2
פעולות התנדבות,84 ,540 ,848300 ,טלפון ישיר,15,15,15,15,12
פעולות התנדבות,12 ,550 ,848300 ,פרסומים ודפוס,7,7,7,7,6
פעולות התנדבות,5 ,750 ,848300 ,נקיון בית המתנדב,17,16,23,23,17
פעולות התנדבות,84 ,780 ,848300 ,"פרוייקט ""סלי מזון"" לנצרכים - עירוני",700,500,500,500,500
פעולות התנדבות,84 ,840 ,848300 ,פעולות התנדבות (כולל כנס),37,37,37,37,24
,,,8483.,"סה""כ - פעולות התנדבות:",781,580,587,587,561
,,,8484.,"שרות ייעוץ לאזרח - שי""ל",,,,,
"שרות ייעוץ לאזרח - שי""ל",84 ,100 ,848400 ,משכורות כוללות,137,132,132,132,128
"שרות ייעוץ לאזרח - שי""ל",2 ,410 ,848400 ,שכר דירה,66,60,60,60,55
"שרות ייעוץ לאזרח - שי""ל",2 ,429 ,848400 ,דמי אחזקה,17,15,14,14,14
"שרות ייעוץ לאזרח - שי""ל",84 ,540 ,848400 , טלפון ישיר,7,7,7,7,6
"שרות ייעוץ לאזרח - שי""ל",12 ,550 ,848400 ,פרסומים ודפוס,4,4,4,4,3
"שרות ייעוץ לאזרח - שי""ל",5 ,750 ,848400 ,נקיון בקבלנות ,8,8,9,9,7
"שרות ייעוץ לאזרח - שי""ל",84 ,780 ,848400 ,הוצאות אחרות,18,15,15,15,11
,,,8484.,"סה""כ - שרות ייעוץ לאזרח - שי""ל:",257,241,241,241,225
,,,8487.,שרותים קהילתיים,,,,,
שרותים קהילתיים,84 ,100 ,848700 ,משכורות כוללות ,670,650,595,595,594
שרותים קהילתיים,2 ,410 ,848700 ,שכר דירה (כולל בית מורשת)  ,155,140,142,142,133
שרותים קהילתיים,84 ,430 ,848700 ,הוצאות חשמל,58,55,42,42,33
שרותים קהילתיים,84 ,540 ,848700 ,טלפון ישיר (כולל בית מורשת),10,10,10,10,7
שרותים קהילתיים,84 ,780 ,848700 ,"הוצאות אחרות (מ- 2015 כולל פרוייקט ""חוסן בקהילה"") ",210,150,150,150,92
