"הצעת   התקציב   הרגיל   לשנת   2015   בש""ח",,,,,,,,,
סעיף,פרק,ספר,,שם,סוג,אחוז השינוי מול 2014,"הצעה
2015","תקציב  מקורי
2014","ביצוע
2013"
752 ,828120 ,1 ,,נקיון בקבלנות     ,קשיח,2.65% ,"31,000 ","30,200 ","26,611.00"
780 ,828120 ,1 ,,פעולות קידום נוער ,גמיש,0.00% ,"52,600 ","52,600 ","26,560.71"
828120  סך הכל ,,,,קידום נוער        ,,0.95% ,"2,188,900 ","2,168,300 ","2,079,223.06"
000 ,828200 ,1 ,,רשת קהילה ופנאי , ,,                ,                ,
441 ,828200 ,1 ,,ביטוח             ,קשיח,0.00% ,"35,300 ","35,300 ","12,878.20"
780 ,828200 ,1 ,,"פרוייקט למידה ת""ג",גמיש,0.00% ,"60,000 ","60,000 ","60,000.00"
781 ,828200 ,1 ,,אחזקת גני-ילדים,גמיש,0.00% ,"50,000 ","50,000 ","47,500.00"
782 ,828200 ,1 ,,רכזת ספורט,גמיש,0.00% ,"70,000 ","70,000 ","70,000.00"
783 ,828200 ,1 ,,תחום נוער,קשיח,0.00% ,"487,000 ","487,000 ","390,000.00"
784 ,828200 ,1 ,,פרויקטים + קיץ,קשיח,0.00% ,"661,600 ","661,600 ","281,000.00"
785 ,828200 ,1 ,,תנועות נוער       ,קשיח,0.00% ,"60,000 ","60,000 ","60,000.00"
786 ,828200 ,1 ,,היפ הופ,קשיח,0.00% ,"120,000 ","120,000 ","150,000.00"
787 ,828200 ,1 ,,מנהיגות וקשרי חוץ,קשיח,0.00% ,"147,200 ","147,200 ","44,000.00"
788 ,828200 ,1 ,,פעולות - יוזמות,קשיח,0.00% ,"105,700 ","105,700 ","105,700.00"
789 ,828200 ,1 ,,תחום מניעה,קשיח,0.00% ,"42,000 ","42,000 ",
810 ,828200 ,1 ,,"השתתפות ברשת קו""פ ",קשיח,0.00% ,"3,044,000 ","3,044,000 ","2,936,552.39"
811 ,828200 ,1 ,,תרבות תורנית-מקהלות,גמיש,0.00% ,"500,000 ",,
812 ,828200 ,1 ,,למידה לזרוס,גמיש,0.00% ,"88,000 ","88,000 ","88,000.00"
813 ,828200 ,1 ,,השתתפות בקייטנות  ,גמיש,0.00% ,"79,200 ","79,200 ","83,600.00"
814 ,828200 ,1 ,,קורס אומנות הקרנבל,גמיש,0.00% ,"143,000 ","143,000 ","143,000.00"
815 ,828200 ,1 ,,"שברולט,שטרודל,אריות",גמיש,0.00% ,"1,781,200 ","1,781,200 ","1,781,250.00"
816 ,828200 ,1 ,,רכזת מורשת,גמיש,0.00% ,"113,400 ","113,400 ","126,000.00"
817 ,828200 ,1 ,,מועדון נכים-לזרוס ,גמיש,0.00% ,"20,000 ","20,000 ","20,000.00"
818 ,828200 ,1 ,,חוסמסה-רכז+ארכיבאי,גמיש,0.00% ,"209,500 ","209,500 ","221,066.00"
819 ,828200 ,1 ,,ספר חולון,גמיש,0.00% ,"27,000 ","27,000 ","20,453.00"
820 ,828200 ,1 ,,המוזיאון העירוני,גמיש,0.00% ,"273,000 ","273,000 ","259,350.00"
821 ,828200 ,1 ,,מועדון עולי בוכרה,גמיש,0.00% ,"30,000 ","30,000 ","40,000.00"
822 ,828200 ,1 ,,מרכז  פסגות,גמיש,0.00% ,"200,000 ","200,000 ","475,000.00"
824 ,828200 ,1 ,,גוונים ניצנים,גמיש,0.00% ,"300,000 ","300,000 ","82,350.00"
825 ,828200 ,1 ,,"מתנ""ס חדש - ת""ג",גמיש,0.00% ,"400,000 ","400,000 ","475,000.00"
832 ,828200 ,1 ,,מים               ,גמיש,0.00% ,"200,000 ","200,000 ","249,477.80"
874 ,828200 ,1 ,,דמי שכירות,קשיח,0.00% ,"249,000 ","249,000 ",
879 ,828200 ,1 ,,ביטוח-כנגד הכנסות,קשיח,0.00% ,"35,300 ","35,300 ","14,204.20"
981 ,828200 ,1 ,,התנדבות בקהילה,קשיח,0.00% ,"125,000 ","125,000 ",
982 ,828200 ,1 ,,"נוע""ם ח'",קשיח,0.00% ,"240,000 ","240,000 ",
983 ,828200 ,1 ,,מרכז הדרכה - הכשרות,קשיח,0.00% ,"20,000 ","20,000 ",
828200  סך הכל ,,,,רשת קהילה ופנאי ,,5.31% ,"9,916,400 ","9,416,400 ","8,236,381.59"
000 ,828240 ,1 ,,המרכז הבין תחומי  , ,,                ,                ,
263 ,828240 ,1 ,,עובדי חברת מוסדות ,שכר,-100.00% ,0 ,"149,400 ",
441 ,828240 ,1 ,,ביטוח             ,קשיח,0.00% ,"4,400 ","4,400 ","1,326.00"
871 ,828240 ,1 ,,מרכז וידאו ארט    ,גמיש,0.00% ,"1,530,000 ","1,530,000 ","1,643,500.00"
873 ,828240 ,1 ,,ג'סי כהן,גמיש,0.00% ,0 ,0 ,"190,000.00"
879 ,828240 ,1 ,,ביטוח-כנגד הכנסות,קשיח,-100.00% ,0 ,"4,400 ",
828240  סך הכל ,,,,המרכז הבין תחומי  ,,-9.11% ,"1,534,400 ","1,688,200 ","1,834,826.00"
000 ,829000 ,1 ,,ספורט             , ,,                ,                ,
000 ,829100 ,1 ,,מינהל הספורט      , ,,                ,                ,
441 ,829100 ,1 ,,ביטוח מחלקת הספורט       ,קשיח,0.00% ,"43,900 ","43,900 ","22,800.00"
500 ,829100 ,1 ,,הוצאות מינהליות   , ,,,,0.00
700 ,829100 ,1 ,,הוצאות לפעולות    , ,,,,0.00
810 ,829100 ,1 ,,"מועדון ספורט בי""ס",קשיח,0.00% ,"360,000 ","360,000 ","283,360.00"
811 ,829100 ,1 ,,אליפות אומנותית,גמיש,0.00% ,"500,000 ",0 ,
812 ,829100 ,1 ,,"אליפות בינ""ל",גמיש,0.00% ,"300,000 ","300,000 ","285,000.00"
813 ,829100 ,1 ,,תיפעול המחלקה,גמיש,0.00% ,"734,000 ","734,000 ","697,363.40"
814 ,829100 ,1 ,,השת' אולם ספורט שמיר,גמיש,0.00% ,"106,300 ","106,300 ","124,949.00"
815 ,829100 ,1 ,,אולימפיידת הילדים,גמיש,0.00% ,0 ,0 ,"350,000.00"
820 ,829100 ,1 ,,מרכזי מצוינות,קשיח,14.29% ,"320,000 ","280,000 ","240,000.00"
821 ,829100 ,1 ,,השתתפות היכל הספורט,גמיש,0.00% ,"2,000,000 ",0 ,
822 ,829100 ,1 ,,ליגת הכוכבים,גמיש,0.00% ,"165,000 ","165,000 ","162,484.00"
824 ,829100 ,1 ,,השתתפות אולם מכבי ,גמיש,0.00% ,0 ,0 ,"493,000.00"
870 ,829100 ,1 ,,"חוגי ספורט בי""ס",גמיש,-25.00% ,"60,000 ","80,000 ",
871 ,829100 ,1 ,,תחזוקת מגרש אורט,גמיש,0.00% ,"60,000 ","60,000 ",
873 ,829100 ,1 ,,פרוייקטים,גמיש,0.00% ,"370,000 ","370,000 ","731,500.00"
874 ,829100 ,1 ,,"תיגבור חט""ב ק""ש (מאגוד')",גמיש,0.00% ,"46,000 ","46,000 ","43,700.00"
879 ,829100 ,1 ,,ביטוח - כנגד הכנסות,קשיח,0.00% ,"43,900 ","43,900 ","22,800.00"
900 ,829100 ,1 ,,הוצאות חד פעמיות  , ,,,,0.00
920 ,829100 ,1 ,,פעולות כנגד הכנסות,גמיש,0.00% ,"300,000 ","300,000 ","250,779.00"
829100  סך הכל ,,,,מינהל הספורט      ,,87.22% ,"5,409,100 ","2,889,100 ","3,707,735.40"
000 ,829200 ,1 ,,מתקני ספורט       , ,,                ,                ,
100 ,829200 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,829200 ,1 ,,השכר הקובע-תקציבית,שכר,0.00% ,0 ,0 ,-43.71
140 ,829200 ,1 ,,השתתפות באחזקת רכב,שכר,0.00% ,0 ,0 ,-349.45
200 ,829200 ,1 ,,שכר עובדים ללא תקן, ,,,,0.00
400 ,829200 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
500 ,829200 ,1 ,,הוצאות מינהליות   , ,,,,0.00
700 ,829200 ,1 ,,הוצאות לפעולות    , ,,,,0.00
810 ,829200 ,1 ,,השתתפות בתק' הפעלה,גמיש,0.00% ,"1,161,100 ","1,161,100 ","1,297,699.00"
900 ,829200 ,1 ,,הוצאות חד פעמיות  , ,,,,0.00
829200  סך הכל ,,,,מתקני ספורט       ,,0.00% ,"1,161,100 ","1,161,100 ","1,297,305.84"
000 ,829400 ,1 ,,הבריכה הלימודית   , ,,                ,                ,
410 ,829400 ,1 ,,דמי זכיון         ,קשיח,-64.60% ,"53,100 ","150,000 ","96,922.00"
810 ,829400 ,1 ,,השתתפות בחוגי שחיה,קשיח,0.00% ,"36,000 ","36,000 ","10,000.00"
829400  סך הכל ,,,,הבריכה הלימודית   ,,-52.10% ,"89,100 ","186,000 ","106,922.00"
000 ,829500 ,1 ,,מרכז פיס - ברקת   , ,,                ,                ,
810 ,829500 ,1 ,,השתת' בתקציב הפעלה,גמיש,0.00% ,"28,900 ","28,900 ","34,000.00"
900 ,829500 ,1 ,,הוצאות חד פעמיות  , ,,,,0.00
829500  סך הכל ,,,,מרכז פיס - ברקת   ,,0.00% ,"28,900 ","28,900 ","34,000.00"
000 ,829600 ,1 ,,מרכז פיס קרית שרת , ,,                ,                ,
810 ,829600 ,1 ,,השתתפות בתק' הפעלה,גמיש,0.00% ,"178,300 ","178,300 ","209,800.00"
821 ,829600 ,1 ,,הפעלת אולם בגין,גמיש,0.00% ,"105,800 ","105,800 ","124,400.00"
829600  סך הכל ,,,,מרכז פיס קרית שרת ,,0.00% ,"284,100 ","284,100 ","334,200.00"
000 ,829700 ,1 ,,מרכז ספורט טיפולי , ,,                ,                ,
431 ,829700 ,1 ,,חשמל              ,קשיח,0.00% ,0 ,0 ,-744.42
810 ,829700 ,1 ,,הפעלת המרכז       ,גמיש,-7.50% ,"617,000 ","667,000 ","724,200.00"
811 ,829700 ,1 ,,איבחון - ספורט טיפולי,גמיש,0.00% ,"320,000 ","320,000 ","320,000.00"
829700  סך הכל ,,,,מרכז ספורט טיפולי ,,-5.07% ,"937,000 ","987,000 ","1,043,455.58"
000 ,829800 ,1 ,,מרכז ספורט קציר   , ,,                ,                ,
810 ,829800 ,1 ,,השתתפות בתק' הפעלה,גמיש,0.00% ,"178,500 ","178,500 ","210,000.00"
829800  סך הכל ,,,,מרכז ספורט קציר   ,,0.00% ,"178,500 ","178,500 ","210,000.00"
000 ,829900 ,1 ,,תמיכות לאגודות ספורט, ,,                ,                ,
580 ,829900 ,1 ,,בקרה תקציבית      ,גמיש,0.00% ,"72,000 ","72,000 ","64,000.00"
800 ,829900 ,1 ,,השת' תמיכות תרומות, ,,,,0.00
820 ,829900 ,1 ,,"קמפוס קציר כ""י נוער",גמיש,0.00% ,0 ,0 ,"336,801.00"
822 ,829900 ,1 ,,פעולות  ספורט     ,גמיש,8.20% ,"4,977,177 ","4,600,177 ","7,614.80"
823 ,829900 ,1 ,,מענקים מיוחדים    ,גמיש,0.00% ,"962,023 ","962,023 ","1,055,442.00"
826 ,829900 ,1 ,,כוכב עולה נוער,גמיש,0.00% ,0 ,0 ,"242,567.00"
827 ,829900 ,1 ,,צפרירים  נוער,גמיש,0.00% ,0 ,0 ,"132,482.00"
828 ,829900 ,1 ,,ראונד איגרוף,גמיש,0.00% ,0 ,0 ,"7,800.00"
880 ,829900 ,1 ,,צפרירים           ,גמיש,0.00% ,0 ,0 ,"62,397.00"
881 ,829900 ,1 ,,פיסגה - אומנויות לחימה,גמיש,0.00% ,0 ,0 ,"31,198.00"
882 ,829900 ,1 ,,"מכבי ק""ש כדוריד",גמיש,0.00% ,0 ,0 ,"177,829.00"
883 ,829900 ,1 ,,אליצור כדורסל     ,גמיש,0.00% ,0 ,0 ,"533,034.00"
884 ,829900 ,1 ,,הפועל כדור-סל     ,גמיש,0.00% ,0 ,0 ,"1,518,970.00"
886 ,829900 ,1 ,,מכבי הת' אומנותית,גמיש,0.00% ,0 ,0 ,"217,982.00"
888 ,829900 ,1 ,,מכבי חולון-כדורגל ,גמיש,0.00% ,0 ,0 ,"368,042.00"
889 ,829900 ,1 ,,אליצור שומרון     ,גמיש,0.00% ,0 ,0 ,"7,800.00"
890 ,829900 ,1 ,,אליצור-נער כוכבי על,גמיש,0.00% ,0 ,0 ,"42,516.00"
891 ,829900 ,1 ,,הפועל חולון-ענפים ,גמיש,0.00% ,0 ,0 ,"397,921.00"
894 ,829900 ,1 ,,באול 300 חולון,גמיש,0.00% ,0 ,0 ,"7,800.00"
897 ,829900 ,1 ,,עמותת גלגיליות   ,גמיש,0.00% ,0 ,0 ,"175,093.00"
898 ,829900 ,1 ,,עוצמה (ארזים) כדורגל      ,גמיש,0.00% ,0 ,0 ,"111,355.00"
829900  סך הכל ,,,,תמיכות לאגודות ספורט,,6.69% ,"6,011,200 ","5,634,200 ","5,498,643.80"
000 ,832400 ,1 ,,תחנות לאם ולילד   , ,,                ,                ,
400 ,832400 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
420 ,832400 ,1 ,,כיבוי אש          ,גמיש,0.00% ,"4,000 ","4,000 ","2,424.00"
423 ,832400 ,1 ,,תחזוקת מבנה       ,קשיח,-14.12% ,"73,000 ","85,000 ","71,400.00"
431 ,832400 ,1 ,,חשמל              ,קשיח,0.00% ,"75,600 ","75,600 ","101,912.07"
437 ,832400 ,1 ,,אחזקת אזעקה       ,קשיח,0.00% ,"4,000 ","4,000 ","3,846.72"
470 ,832400 ,1 ,,אחזקת מכונות משרד ,גמיש,0.00% ,"1,300 ","1,300 ",57.05
540 ,832400 ,1 ,,הוצאות טלפון      ,קשיח,0.00% ,"5,200 ","5,200 ","2,847.80"
550 ,832400 ,1 ,,פירסומים          ,גמיש,0.00% ,600 ,600 ,600.00
700 ,832400 ,1 ,,הוצאות לפעולות    , ,,,,0.00
721 ,832400 ,1 ,,חמרים-תחזוקת מבנים,גמיש,0.00% ,"11,000 ","11,000 ","10,915.40"
742 ,832400 ,1 ,,כלים וציוד        ,גמיש,0.00% ,"2,200 ","2,200 ",879.00
751 ,832400 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"114,000 ",0 ,"113,864.00"
752 ,832400 ,1 ,,נקיון בקבלנות     ,קשיח,0.00% ,"222,900 ","222,900 ","207,999.25"
789 ,832400 ,1 ,,כביסה             ,גמיש,0.00% ,"5,200 ","5,200 ","5,197.00"
794 ,832400 ,1 ,,השתתפות בעזר 094  ,קשיח,0.00% ,"3,200 ","3,200 ","2,886.00"
800 ,832400 ,1 ,,השת' תמיכות תרומות, ,,,,0.00
932 ,832400 ,1 ,,רכישות חד פעמיות  ,גמיש,0.00% ,"4,400 ","4,400 ","6,170.00"
832400  סך הכל ,,,,תחנות לאם ולילד   ,,24.02% ,"526,600 ","424,600 ","530,998.29"
000 ,836100 ,1 ,,מגן דוד אדום      , ,,                ,                ,
800 ,836100 ,1 ,,השת' תמיכות תרומות, ,,,,0.00
811 ,836100 ,1 ,,השת'-בתורנות לילה ,קשיח,0.00% ,"100,000 ","100,000 ","21,919.00"
812 ,836100 ,1 ,,"ניידת נט""נ        ",קשיח,0.00% ,"270,000 ","270,000 ","269,756.00"
836100  סך הכל ,,,,מגן דוד אדום      ,,0.00% ,"370,000 ","370,000 ","291,675.00"
000 ,840000 ,1 ,,רווחה             , ,,                ,                ,
000 ,841000 ,1 ,,מינהל הרווחה      , ,,                ,                ,
100 ,841000 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,841000 ,1 ,,השכר הקובע-תקציבית,שכר,-4.92% ,"852,900 ","897,000 ","892,697.35"
119 ,841000 ,1 ,,השכר הקובע-צוברת  ,שכר,15.37% ,"1,779,100 ","1,542,100 ","1,476,941.49"
122 ,841000 ,1 ,,ביגוד             ,שכר,16.10% ,"44,700 ","38,500 ","31,213.00"
126 ,841000 ,1 ,,דמי הבראה         ,שכר,11.28% ,"114,400 ","102,800 ","82,067.75"
130 ,841000 ,1 ,,שעות נוספות       ,שכר,0.00% ,"55,000 ","55,000 ","49,761.75"
140 ,841000 ,1 ,,השתתפות באחזקת רכב,שכר,109.90% ,"341,500 ","162,700 ","159,174.60"
200 ,841000 ,1 ,,שכר עובדים ללא תקן, ,,,,0.00
400 ,841000 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
423 ,841000 ,1 ,,תחזוקת מבנה       ,קשיח,-13.64% ,"9,500 ","11,000 ","13,300.00"
431 ,841000 ,1 ,,חשמל              ,קשיח,-16.67% ,"500,000 ","600,000 ","377,008.22"
432 ,841000 ,1 ,,מים               ,גמיש,0.00% ,"22,400 ","22,400 ",
437 ,841000 ,1 ,,אחזקת אזעקה       ,קשיח,0.00% ,"4,000 ","4,000 ","3,917.12"
470 ,841000 ,1 ,,אחזקת מכונות משרד ,גמיש,9.09% ,"12,000 ","11,000 ","10,656.94"
471 ,841000 ,1 ,,מכשירי כתיבה      ,גמיש,5.26% ,"100,000 ","95,000 ","82,983.55"
492 ,841000 ,1 ,,השתתפות בעזר 092  ,קשיח,0.22% ,"643,600 ","642,200 ","574,170.00"
500 ,841000 ,1 ,,הוצאות מינהליות   , ,,,,0.00
511 ,841000 ,1 ,,אירוח וכיבוד      ,גמיש,0.00% ,"8,800 ","8,800 ","10,794.40"
512 ,841000 ,1 ,,"נסיעות ואש""ל      ",גמיש,0.00% ,"8,800 ","8,800 ","8,704.30"
521 ,841000 ,1 ,,השתלמות קבוצתית   ,קשיח,0.00% ,"40,000 ","40,000 ",
522 ,841000 ,1 ,,ספרים ועיתונים    ,גמיש,0.00% ,"4,800 ","4,800 ","5,356.50"
524 ,841000 ,1 ,,השתלמות מרוכזת    ,גמיש,0.00% ,"43,200 ","43,200 ","18,840.00"
544 ,841000 ,1 ,,הוצאות דאר        ,קשיח,0.00% ,"84,500 ","84,500 ","66,985.61"
550 ,841000 ,1 ,,פירסומים          ,גמיש,0.00% ,"3,400 ","3,400 ",
562 ,841000 ,1 ,,הדפסות            ,גמיש,4.17% ,"15,000 ","14,400 ","8,475.57"
570 ,841000 ,1 ,,תשלום לאוטומציה   ,קשיח,83.00% ,"73,200 ","40,000 ","33,858.58"
571 ,841000 ,1 ,,"מיכון וענ""א       ",קשיח,12.29% ,"263,200 ","234,400 ","262,800.00"
580 ,841000 ,1 ,,יעוץ משפטי        ,גמיש,0.00% ,"4,000 ","4,000 ",620.01
700 ,841000 ,1 ,,הוצאות לפעולות    , ,,,,0.00
721 ,841000 ,1 ,,חמרים-תחזוקת מבנים,גמיש,0.00% ,"12,000 ","12,000 ","7,865.44"
750 ,841000 ,1 ,,אחזקת מוסדות,קשיח,0.00% ,"513,800 ","513,800 ","464,611.15"
751 ,841000 ,1 ,,עבודות קבלניות    ,גמיש,0.00% ,"75,000 ",0 ,"70,138.00"
752 ,841000 ,1 ,,נקיון בקבלנות     ,קשיח,26.08% ,"480,000 ","380,700 ","322,999.80"
754 ,841000 ,1 ,,"אחזקת תמ""י בר",קשיח,0.00% ,"4,000 ","4,000 ","2,865.84"
756 ,841000 ,1 ,,שמירה             ,קשיח,44.45% ,"492,000 ","340,600 ","249,999.63"
780 ,841000 ,1 ,,ארועים            ,גמיש,0.00% ,"2,700 ","2,700 ","2,000.00"
781 ,841000 ,1 ,,"פעולות סמנכ""ל",גמיש,0.00% ,"7,700 ","7,700 ","9,312.41"
782 ,841000 ,1 ,,ארוע מועדוני קשישים,גמיש,0.00% ,"140,000 ","140,000 ","127,698.40"
783 ,841000 ,1 ,,"עיתון ""כיוון חדש""",גמיש,0.00% ,"20,000 ","20,000 ","16,439.00"
784 ,841000 ,1 ,,הרצאות            ,קשיח,0.00% ,"1,900 ","1,900 ","1,180.00"
794 ,841000 ,1 ,,השתתפות בעזר 094  ,קשיח,-1.22% ,"40,600 ","41,100 ","37,248.00"
800 ,841000 ,1 ,,השת' תמיכות תרומות, ,,,,0.00
931 ,841000 ,1 ,,רכישות חד פעמיות  ,גמיש,0.00% ,"12,000 ","12,000 ","4,948.90"
961 ,841000 ,1 ,,רז' פעולות ורכישות,גמיש,0.00% ,"24,000 ","24,000 ","29,515.20"
980 ,841000 ,1 ,,הוצ' שונות (הכנסה),קשיח,0.00% ,"20,000 ","20,000 ",
841000  סך הכל ,,,,מינהל הרווחה      ,,11.04% ,"6,873,700 ","6,190,500 ","5,517,148.51"
000 ,842000 ,1 ,,רווחת הפרט והמשפחה, ,,                ,                ,
000 ,842500 ,1 ,,טיפול במשפחה      , ,,                ,                ,
100 ,842500 ,1 ,,שכר עובדים לפי תקן, ,,                ,                ,0.00
110 ,842500 ,1 ,,השכר הקובע-תקציבית,שכר,5.05% ,"4,009,400 ","3,816,800 ","3,885,262.13"
119 ,842500 ,1 ,,השכר הקובע-צוברת  ,שכר,16.92% ,"12,252,800 ","10,479,300 ","9,198,785.25"
122 ,842500 ,1 ,,ביגוד             ,שכר,8.83% ,"186,100 ","171,000 ","143,759.40"
126 ,842500 ,1 ,,דמי הבראה         ,שכר,10.11% ,"469,400 ","426,300 ","563,079.63"
130 ,842500 ,1 ,,שעות נוספות       ,שכר,11.67% ,"737,000 ","660,000 ","665,417.35"
140 ,842500 ,1 ,,השתתפות באחזקת רכב,שכר,18.16% ,"2,027,000 ","1,715,400 ","1,590,386.85"
253 ,842500 ,1 ,,עובדים חיצוניים   ,שכר,994.00% ,"328,200 ","30,000 ","34,480.00"
400 ,842500 ,1 ,,אחזקת בנינים וציוד, ,,,,0.00
571 ,842500 ,1 ,,"מיכון וענ""א       ",קשיח,34.33% ,"778,600 ","579,600 ","649,800.00"
781 ,842500 ,1 ,,פעילות במרכז למשפחה,גמיש,0.00% ,"50,000 ",,
782 ,842500 ,1 ,,תאום הורי,גמיש,0.00% ,"15,000 ",,
783 ,842500 ,1 ,,פע'-טיפול באלימות,קשיח,0.00% ,"27,000 ","27,000 ","13,966.66"
784 ,842500 ,1 ,,פנוי בתים         ,גמיש,0.00% ,"4,000 ","4,000 ","6,274.00"
811 ,842500 ,1 ,,משפ'במצוקהד1025410,קשיח,0.00% ,"394,000 ","394,000 ","362,871.29"
812 ,842500 ,1 ,,עולים-מצוקה1073180,קשיח,0.00% ,"90,000 ","90,000 ","48,909.00"
813 ,842500 ,1 ,,פגיעות מיניות,קשיח,0.00% ,"129,200 ","129,200 ",
814 ,842500 ,1 ,,טפול פרט מש1026040,קשיח,17.54% ,"67,000 ","57,000 ","50,996.00"
818 ,842500 ,1 ,,מקלט לנשים מוכות  ,קשיח,100.00% ,"400,000 ","200,000 ","419,986.00"
844 ,842500 ,1 ,,דרי רחוב 1025510  ,קשיח,0.00% ,"380,000 ","380,000 ","314,317.00"
845 ,842500 ,1 ,,סיוע למשפחות + ילדים,קשיח,2.50% ,"410,000 ","400,000 ","344,845.00"
842500  סך הכל ,,,,טיפול במשפחה      ,,16.34% ,"22,754,700 ","19,559,600 ","18,293,135.56"
000 ,842600 ,1 ,,המרכז למשפחה      , ,,                ,                ,
431 ,842600 ,1 ,,חשמל              ,קשיח,0.00% ,"4,300 ","4,300 ","4,215.20"
842600  סך הכל ,,,,המרכז למשפחה      ,,0.00% ,"4,300 ","4,300 ","4,215.20"
000 ,843000 ,1 ,,שרותים לילד ולנוער, ,,                ,                ,
000 ,843800 ,1 ,,טיפול בילד ובנוער , ,,                ,                ,
431 ,843800 ,1 ,,חשמל              ,קשיח,0.00% ,"8,900 ","8,900 ","7,532.91"
437 ,843800 ,1 ,,אחזקת אזעקה       ,קשיח,0.00% ,"12,000 ","12,000 ","11,555.00"
750 ,843800 ,1 ,,תחזוקת מועדוניות       ,קשיח,21.21% ,"156,000 ","128,700 ","102,803.00"
752 ,843800 ,1 ,,נקיון מרכז אורים,קשיח,96.97% ,"52,000 ","26,400 ","27,222.10"
781 ,843800 ,1 ,,איבחון חיצוני     ,גמיש,0.00% ,"15,000 ","15,000 ","8,714.00"
811 ,843800 ,1 ,,ילד פנימ גז1038413,קשיח,9.45% ,"11,577,300 ","10,577,300 ","10,967,630.00"
812 ,843800 ,1 ,,ילד' פנימי' 038411,קשיח,11.61% ,"2,883,300 ","2,583,300 ","2,489,301.00"
813 ,843800 ,1 ,,מעונות יום 0422143,קשיח,37.04% ,"148,000 ","108,000 ","90,223.00"
815 ,843800 ,1 ,,ילד במעונות0442140,קשיח,24.62% ,"5,670,000 ","4,550,000 ","4,082,998.00"
817 ,843800 ,1 ,,פ. קהילת 1039440  ,קשיח,8.65% ,"1,507,500 ","1,387,500 ","1,380,658.50"
819 ,843800 ,1 ,,מפתן מקומי 1134410,קשיח,0.00% ,"192,000 ","192,000 ","61,276.00"
841 ,843800 ,1 ,,תכנית לילדים בסיכון,גמיש,0.00% ,"206,100 ","206,100 ",
842 ,843800 ,1 ,,תכנית ביתית 1039470,קשיח,0.00% ,"87,000 ","87,000 ","71,703.00"
846 ,843800 ,1 ,,מועד' משותפות,קשיח,0.00% ,"1,115,000 ","1,115,000 ","1,114,500.00"
881 ,843800 ,1 ,,שכר משפחת' 0422140,קשיח,15.38% ,"600,000 ","520,000 ","519,568.46"
882 ,843800 ,1 ,,ילדים סיכון1039480,קשיח,0.00% ,"18,000 ","18,000 ",
883 ,843800 ,1 ,,ילד במצוקה 1073160,קשיח,0.00% ,"163,000 ","163,000 ","125,188.00"
885 ,843800 ,1 ,,הפנים לקהי' 1038417,קשיח,0.00% ,"800,000 ","800,000 ","671,944.00"
886 ,843800 ,1 ,,ט'משפ'אומנה1038051,קשיח,3.77% ,"1,100,000 ","1,060,000 ","1,019,658.00"
887 ,843800 ,1 ,,מרכז אורים,קשיח,0.00% ,"660,000 ","660,000 ","616,491.00"
888 ,843800 ,1 ,,טיפול בפגיעות מיניות,קשיח,0.00% ,"882,000 ",0 ,"64,309.00"
892 ,843800 ,1 ,,הזנה לנחשונים ובתי דרור,גמיש,0.00% ,"144,000 ",0 ,
893 ,843800 ,1 ,,מרכז אורים,גמיש,0.00% ,"24,000 ","24,000 ","26,233.43"
980 ,843800 ,1 ,,"פרוייקט ""אח בוגר""",קשיח,0.00% ,"12,000 ",0 ,
843800  סך הכל ,,,,טיפול בילד ובנוער ,,15.64% ,"28,033,100 ","24,242,200 ","23,459,508.40"
000 ,844300 ,1 ,,שרות לקשישים      , ,,                ,                ,
814 ,844300 ,1 ,,מועדונים משודרגים,קשיח,0.00% ,"240,000 ",0 ,
815 ,844300 ,1 ,,צרכ' מיוחדים 43440,קשיח,0.00% ,"500,000 ","500,000 ","425,343.00"
817 ,844300 ,1 ,,אח במעונות 1042410,קשיח,4.70% ,"6,020,000 ","5,750,000 ","6,041,436.00"
818 ,844300 ,1 ,,מרכז יום-1043410  ,קשיח,0.00% ,"250,000 ","250,000 ","178,521.00"
819 ,844300 ,1 ,,טפול בזקנים1043600,קשיח,0.00% ,"153,600 ","153,600 ","152,645.00"
820 ,844300 ,1 ,,שכונה תומכת       ,קשיח,0.00% ,"300,000 ","300,000 ","264,895.00"
840 ,844300 ,1 ,,שרותים לניצולי שואה,גמיש,0.00% ,"56,000 ",0 ,"67,025.32"
845 ,844300 ,1 ,,מניעת התעללות בזקן,קשיח,0.00% ,"80,000 ",0 ,
891 ,844300 ,1 ,,פרויקט שכונה תומכת,קשיח,0.00% ,"45,000 ","45,000 ","30,000.00"
844300  סך הכל ,,,,שרות לקשישים      ,,9.23% ,"7,644,600 ","6,998,600 ","7,159,865.32"
000 ,844500 ,1 ,,תעס'+מרכז יום קשיש, ,,                ,                ,
431 ,844500 ,1 ,,חשמל              ,קשיח,0.00% ,"4,100 ","4,100 ","4,079.20"
781 ,844500 ,1 ,,הפעלת מוע' קשישים,קשיח,0.00% ,"1,293,500 ","1,293,500 ","1,940,300.00"
782 ,844500 ,1 ,,רכזת מועדונים,קשיח,0.00% ,"63,000 ","63,000 ","63,000.00"
